2026-06-14 19:08:10 | DEBUG | app.data.utils:load_data_from_csv:67 | Fichier lu avec succès : 2300480 lignes, 8 colonnes
2026-06-14 19:08:10 | INFO | app.data.utils:load_data_from_csv:71 | Lecture du fichier CSV : C:\Users\bradl\Documents\Projets Perso\real-estate-ai-agent\data\bronze\codes_FACILITY_DOM_BPE.csv
2026-06-14 19:08:10 | DEBUG | app.data.utils:load_data_from_csv:77 | Fichier lu avec succès : 8 lignes, 2 colonnes
2026-06-14 19:08:10 | INFO | app.data.utils:load_data_from_csv:71 | Lecture du fichier CSV : C:\Users\bradl\Documents\Projets Perso\real-estate-ai-agent\data\bronze\codes_FACILITY_SDOM_BPE.csv
2026-06-14 19:08:10 | DEBUG | app.data.utils:load_data_from_csv:77 | Fichier lu avec succès : 28 lignes, 2 colonnes
2026-06-14 19:08:10 | INFO | app.data.utils:load_data_from_csv:71 | Lecture du fichier CSV : C:\Users\bradl\Documents\Projets Perso\real-estate-ai-agent\data\bronze\codes_FACILITY_TYPE_BPE.csv
2026-06-14 19:08:10 | DEBUG | app.data.utils:load_data_from_csv:77 | Fichier lu avec succès : 230 lignes, 2 colonnes
2026-06-14 19:08:16 | INFO | app.data.cleaning:run_bpe_to_silver:639 | Démarrage de l'upgrade bpe vers silver
2026-06-14 19:08:16 | INFO | app.data.cleaning:run_bpe_to_silver:642 | Typage des colonnes
2026-06-14 19:08:16 | INFO | app.data.cleaning:run_bpe_to_silver:646 | Slicing des données
2026-06-14 19:08:16 | INFO | app.data.cleaning:run_bpe_to_silver:650 | Jointure des noms de domaines
2026-06-14 19:08:16 | INFO | app.data.cleaning:run_bpe_to_silver:653 | Jointure des noms de sous-domaines
2026-06-14 19:08:16 | INFO | app.data.cleaning:run_bpe_to_silver:656 | Jointure des noms de types d'équipements
2026-06-14 19:08:16 | INFO | app.data.cleaning:run_bpe_to_silver:660 | Création d'une colonne code_postal
2026-06-14 19:08:16 | INFO | app.data.cleaning:run_bpe_to_silver:664 | Renommage des colonnes
2026-06-14 19:08:16 | INFO | app.data.cleaning:run_bpe_to_silver:667 | Fin de l'upgrade bpe vers silver
2026-06-14 19:11:46 | INFO | app.data.cleaning:run_dvf_to_silver:479 | Démarrage de l'upgrade dvf vers silver
2026-06-14 19:11:46 | INFO | app.data.cleaning:run_dvf_to_silver:482 | Suppression des lignes en-têtes
2026-06-14 19:11:46 | INFO | app.data.cleaning:run_dvf_to_silver:486 | Typage des colonnes
2026-06-14 19:11:46 | INFO | app.data.cleaning:run_dvf_to_silver:490 | Imputation des valeurs null pour code_postal
2026-06-14 19:11:46 | INFO | app.data.cleaning:run_dvf_to_silver:493 | Imputation des valeurs null pour adresse_numero et adresse_nom_voie
2026-06-14 19:19:48 | INFO | app.data.cleaning:run_dvf_to_silver:498 | Normalisation du format des adresses
2026-06-14 19:19:52 | INFO | app.data.cleaning:run_dvf_to_silver:502 | Création de colonnes flag de valeurs null (pour valeur_fonciere,...)
2026-06-14 19:19:52 | INFO | app.data.cleaning:run_dvf_to_silver:505 | Création de colonne flag de valeurs atypiques/invalides
2026-06-14 19:19:52 | INFO | app.data.cleaning:run_dvf_to_silver:509 | Drop des lignes dupliquées
2026-06-14 19:19:52 | INFO | app.data.cleaning:run_dvf_to_silver:512 | Fin de l'upgrade dvf vers silver
2026-06-14 19:27:29 | INFO | app.data.utils:load_yaml:25 | Lecture du fichier yaml : C:\Users\bradl\Documents\Projets Perso\real-estate-ai-agent\configs\cleaning.yaml
2026-06-14 19:27:29 | DEBUG | app.data.utils:load_yaml:28 | Fichier lu avec succès
2026-06-14 19:27:29 | INFO | app.data.utils:load_data_from_csv:62 | Lecture du fichier CSV : C:\Users\bradl\Documents\Projets Perso\real-estate-ai-agent\data\bronze\dvf.csv
2026-06-14 19:27:29 | DEBUG | app.data.utils:load_data_from_csv:67 | Fichier lu avec succès : 395612 lignes, 41 colonnes
2026-06-14 19:27:29 | INFO | app.data.utils:load_data_from_csv:62 | Lecture du fichier CSV : C:\Users\bradl\Documents\Projets Perso\real-estate-ai-agent\data\bronze\DS_BPE_2024_data.csv
2026-06-14 19:27:29 | DEBUG | app.data.utils:load_data_from_csv:67 | Fichier lu avec succès : 2300480 lignes, 8 colonnes
2026-06-14 19:27:29 | INFO | app.data.utils:load_data_from_csv:71 | Lecture du fichier CSV : C:\Users\bradl\Documents\Projets Perso\real-estate-ai-agent\data\bronze\codes_FACILITY_DOM_BPE.csv
2026-06-14 19:27:29 | DEBUG | app.data.utils:load_data_from_csv:77 | Fichier lu avec succès : 8 lignes, 2 colonnes
2026-06-14 19:27:29 | INFO | app.data.utils:load_data_from_csv:71 | Lecture du fichier CSV : C:\Users\bradl\Documents\Projets Perso\real-estate-ai-agent\data\bronze\codes_FACILITY_SDOM_BPE.csv
2026-06-14 19:27:29 | DEBUG | app.data.utils:load_data_from_csv:77 | Fichier lu avec succès : 28 lignes, 2 colonnes
2026-06-14 19:27:29 | INFO | app.data.utils:load_data_from_csv:71 | Lecture du fichier CSV : C:\Users\bradl\Documents\Projets Perso\real-estate-ai-agent\data\bronze\codes_FACILITY_TYPE_BPE.csv
2026-06-14 19:27:29 | DEBUG | app.data.utils:load_data_from_csv:77 | Fichier lu avec succès : 230 lignes, 2 colonnes
